gene,meth_shift,rna_shift,meth_z,rna_z,corr_type,anti_score,abs_score,coverage
AT4G18970,-0.0627235725994139,1.923016194720408,-3.850270285567371,7.675001968604219,anti,29.5508320213879,29.5508320213879,2364.0
AT2G07698,-0.15851192547352527,0.7792752248697087,-4.2565785906329605,3.801189748026608,anti,16.180062900383557,16.180062900383557,2273.0
AT2G18700,0.05504429540581415,-0.8719331435226643,4.220784566528739,-1.3624884988162527,anti,5.750770427876549,5.750770427876549,4048.0
AT3G14660,0.059185283002262404,-0.6716490910038713,2.6400451749351075,-1.4750413961149051,anti,3.8941759206427,3.8941759206427,3058.0
