dmw	3 Early M	0 Mid M	7 Expanding M	1 Late M	10 Senescent M	5 Early E	13 Expanding E	4 Abaxial E	6 Adaxial E	8 Senescent E	14 Guard cell	2 Vasculature	11 PPP	9 Phloem	16 Myrosinase	12 S phase	15 G2M phase
dmw=9	-0.08700947597551989	-0.08083527877300534	0.004656929448482394	-0.05877624581676988	0.14944285195862084	-0.1620710128327364	0.22158283020759695	0.3553637157330895	0.1781651288562286	0.26526931990891245	-0.9347460415838613	-0.13377995255257447	-0.058720017801646374	-0.2417873674142319	-0.015516744334657995	0.1256843543447992	-0.03187198711219208
dmw=44	0.021574034992516533	-0.026883564159031925	0.10751235006217574	-0.006872388860607592	-0.054883873322849275	-0.09208884849782817	-0.01276108682578525	-0.05492829407171329	0.020111069993779873	0.1342040922997501	-0.11263335602479829	0.03031144826166099	0.028918007807693158	0.19100326200895068	-0.16407976077816316	-0.13968640974829793	-0.5449269268189788
dmw=45	-0.45766933113262875	-0.039092492179803706	0.09777948890785876	-0.14785917797564196	0.00890165269747234	0.04656174414013908	0.028843702361375456	-0.38440489063675787	-0.2695017475333546	0.003139062575073237	0.09251943222359443	0.30206153360053634	-0.5798172927948939	0.5199926506992483	0.13148643069134464	1.01651414680806	-0.16701907917338926
dmw=48	-0.0024966051432426806	-0.016780854790377275	-0.04019392184859427	-0.0016432311528272736	-0.08642611474107875	0.004499389776222995	-0.013674570686743381	0.025327658128173947	-0.011633847156549582	-0.012377852446235682	0.1398334595852604	0.02029576227603236	-0.019990558637032585	0.04292320570783781	-0.40283096486426617	0.24144842814750334	0.007191742178398242
dmw=49	0.11946467199443578	-0.02964835269388033	0.1005881954618808	-0.08323000248060297	0.03458526417454255	0.15572314965327494	0.10917419675123896	0.006797426089843572	-0.19858193079685893	0.08582761047684295	0.4065659582212974	0.10279660966197146	0.24426532210306529	-0.48581868941499434	-0.2381367593234338	0.33776226554213845	0.1657377701933398
dmw=50	0.00810083407228639	0.004687562743937975	0.0068100500371573005	0.0011281924438900593	0.005219711542567555	-0.006957703518572619	0.005735908305335215	0.005113303909556774	-0.0031618542568699337	0.005895230525821033	0.009504132727642441	0.0077218799943937644	0.006500716448682987	0.004460539561527586	-0.24522595013038645	-0.08478068007747151	0.010703336279901606
dmw=81	-0.05029329820023565	-0.055250622729561105	-0.09193863489201665	-0.005675292348724992	0.0526435838158999	0.12239730660145648	0.20239194311983638	0.17372613082431687	0.14930167976728126	0.1654485575311474	-0.17348145216128752	-0.09288861667292708	-0.12959382782225587	-0.15049513359817723	-0.1690605679777203	0.17779088407145888	-0.11745586249368645
dmw=131	-0.16796179065182382	-0.028346380244491653	0.12351404746530203	-0.02652107335573728	0.06530196422295442	0.21242219717843785	-0.08590178671840532	-0.02360370350372426	-0.0014981042299346548	0.09329358316260022	-0.40478610920612534	-0.11144727246316938	0.1555522392145678	-0.1306311555526134	-0.22712651500069653	0.3975308938680109	-0.7727925301118133
dmw=145	0.04403080875994558	0.1354705616111287	-0.06855750781896092	0.16024112976534644	0.002552995751482365	-0.061333691155312564	-0.2697408104967977	-0.10280661379505743	-0.2984764035122357	-0.1621969449210164	-0.41532677948387214	-0.09810079079035511	-0.15519227749889186	-0.09524916359506652	-0.03454879417095319	-0.02625668706635953	-0.047477133123812576
dmw=158	-0.05681312418251505	-0.03176131303341101	0.004076355534903597	-0.029632855782279144	0.005011233898034484	-0.05815976239228893	0.10122025107906063	0.033861350502606746	0.17810364249050759	0.18034856383021058	-0.09577543444975045	-0.03244811141785031	0.019203408230362262	0.035724452228266146	-0.14049953973368756	-0.203510427564354	-0.8473260954643472
dmw=266	-0.011935149181213158	0.0014141942378871758	-0.008519127090567612	0.0027545335508875057	-0.025072600637793062	-0.008185016283431825	-0.004001421166827692	-0.010503400449917846	-0.007413055445017577	0.17468223559249005	-0.49985551789829824	0.0008853790706705601	0.05464334233399963	0.1310120702106833	0.002187316465596852	0.0022600369369076435	0.0016880732651573145
dmw=300	0.039511400236852734	0.008962723944045847	-0.08069599719851306	0.019596965716291992	0.04976920467373025	0.013627057150385702	0.0032544220813153224	-0.007129957752242455	-0.07391297661833418	0.03293551714792886	-0.10178125197688781	-0.021365183283590716	0.05685402572368281	0.16351165788434163	-0.26425216250413697	0.18042735241330954	-0.0075265695931823196
dmw=325	-0.03283609106368324	-0.059120580654195565	0.04837616116370935	-0.0850468980858311	-0.10818195953140797	0.12120799423945516	0.23039473183182507	0.14081253634990348	0.04810370703568778	0.18004600613140426	0.09981417825295813	0.050034149876609035	-0.044263575362750496	-0.0948162697125497	-0.03643198065220132	-0.2364178561804886	0.19178891709190415
dmw=329	0.021308644085138773	0.009143314767045663	-0.07984873116475644	-0.05464613534061091	-0.13094864641562842	-0.08024932384312367	-0.24135191369994935	0.008594662645948548	0.16550999065796834	0.03967121788827277	-0.0356330620244677	0.09051482727198673	0.0013371666223234158	0.08602756191253458	0.21762588978531328	0.06772475057707938	-0.176833206187332
dmw=330	0.08227664993560874	0.02771395309814373	-0.10842987394407771	0.03731781420475405	-0.21399580894958908	0.258561891650513	-0.3839160777544021	-0.12302146159964905	0.07610460956287762	0.013380911194803946	-0.39312713977759334	0.06135551953770946	-0.04639248115257566	0.10959638326186727	-0.30278804111208	-0.029885317738204686	-0.12625788722771608
dmw=344	-0.047461725227422646	0.022096758444059006	-0.13553002076468768	0.11012953175554005	0.23647728739621765	0.1962565481477652	-0.2201216547241514	-0.2592428074765658	-0.17920693641654722	-0.21693671528242042	-0.4901455751361332	0.04273298824517513	-0.06252464296955598	0.1284984352431368	0.10897312915069318	0.17919661807884013	-0.21658349337906224
dmw=469	-0.11655975919075845	0.01172946942203379	-0.09484717005355514	0.014917482502375456	-0.061031115392158775	0.05459460361151203	0.014676821312091581	0.03211326046941387	-0.011689700131960912	0.056519066968618414	-0.37534163493494305	-0.010204777251489161	-0.04601428102071492	0.12188292365782227	0.003409079596374265	-0.08847698080141086	-0.6601447553904757
dmw=475	-0.06286460374043912	-0.10075149530205485	0.06634585038425811	0.007590143491340684	-0.08920056140086752	0.007884864848159756	0.15684812672711723	0.17030478924107362	-0.019728654715880367	0.1141743166428314	-0.19145847990478015	0.04681524652956648	-0.10384420208709633	-0.05524453245252503	-0.18383191218603478	-0.2270991682766591	0.21254413812944317
dmw=485	0.04925541596644917	0.08621888654318018	-0.061844202422738775	0.037941990566613626	0.04394083963110444	-0.10375646900880259	-0.10075074172460005	-0.057374378071715776	-0.005554293530854654	-0.10223888386785143	-0.11672960287266276	-0.04212779142371259	-0.015467693324008935	0.06723534152477173	0.27306795552849406	-0.034000689409290574	-0.20389318958232716
dmw=486	-0.01370778186698321	0.023771223308616335	0.03280658302372886	0.03307250701128244	-0.01501064938912338	-0.03085050740253706	0.0061304655483728765	-0.00917540568997642	0.04865287522779822	0.02119663664050464	0.0006959001900074813	-0.07986507212441862	-0.10984513937883646	0.006044032407622205	0.0945123477857722	0.04897013906114039	-0.24422603945750532
dmw=487	0.14376953161000672	0.1378329093824266	-0.15583551919415906	0.09716760647531025	0.015417498416326614	0.09714658356276518	-0.21916433702585741	-0.18788697271012006	-0.06407503965042877	-0.1410505610763424	0.08033324650121498	-0.11203396258130849	-0.2977280291422615	-0.04679061076612817	-0.24041209370587635	0.19779883315590105	0.12465998607526885
dmw=499	-0.055696495719562755	0.06515219213078571	0.22495848374911248	0.144085227859086	-0.09436495746258189	-0.14450554058446402	0.07677156295408705	-0.21747096104968466	-0.23629241654935762	-0.16341887918636605	-0.07938200941106793	0.007175688259308144	-0.07623548186991902	-0.050446743423538665	0.016464505840703192	-0.04837301015129142	-0.6366745050002657
dmw=521	0.034258448414427156	-0.001860297049722126	-0.023343222165838617	0.007545193483171508	-0.06624358044914769	-0.007286874148021316	0.026046108131259404	-0.003978531331006452	0.006161302799441604	-0.0435582183662776	-0.05132755086167051	-0.005067268005201742	0.033214494910236425	-0.1025455861910598	-0.3122274376609363	0.1689108291934479	-0.9397154336154049
dmw=527	0.008816946165399355	0.007384804669862801	0.013332500261229547	0.011982946063536287	0.014180646066243993	-0.00677761854145465	0.017640276671159562	-0.009432316005571558	0.011371916505788877	-0.015823320069443675	0.025789504127197257	-0.04364277385357847	-0.02526617691935997	-0.047258179484495226	-0.20536041000869057	0.01567466568504213	0.028258298977439603
dmw=540	-0.022233065914053607	-0.0010186832547389724	-0.03236884889308411	0.0047949262346508315	0.05176000850116358	0.129627260694398	0.005620458503089676	0.03209278936147819	-0.065475616019607	0.07834713043591413	0.09784370524602082	0.04272767407578737	-0.2927893293513982	0.05576751828556131	0.04649911958058145	0.024352574988397158	-0.24229349681553985
dmw=561	-0.131891309642173	-0.05434007008504915	0.02190993745729386	0.0571111933917412	0.14900603854510175	-0.14187327258858595	0.03352019724466837	0.08534956764798529	-0.09129857410636899	-0.04827182856684331	-0.25127774418923554	-0.00856119863606053	0.10391004367649004	0.19377377240963245	-0.02241039892690877	0.060865218695767775	-0.07868560723743034
dmw=579	0.0034373039828344	-6.704383328288814e-05	0.029027944900120894	0.0073502987034204095	0.002028216029998214	-0.018508327599014756	-2.310339362877542e-05	-0.00010369275506833149	0.029626654551051325	0.0006447971539690362	-0.08738643842959146	-0.004027882134288362	0.0018830703086787151	-0.10291365349330647	-0.16378162543450364	0.0034163002528184152	0.004770847020255924
dmw=592	0.05570057282591512	0.045927029337782185	0.033238307623051466	0.0861115703725682	0.08035255957843965	-0.13874536483035022	-0.12281569363728298	-0.047742640380293196	-0.06736905429596363	-0.017008103231338674	-0.18287547913194716	-0.05882779040367031	-0.06015221336067014	-0.01678925519641211	-0.34254253328941275	0.10785322322600471	-0.06527874327244473
dmw=593	-0.077852369898184	0.05554913931030326	-0.04083072093058199	0.10247892250623572	0.11515393811883017	-0.10654837171162343	-0.04554118565204398	0.009857110463296612	0.07477987435109706	-0.010734767416790025	0.04270687958119518	-0.1122651384733645	-0.12940656298043302	-0.2615463524941143	-0.11329998862959678	0.019630347218110425	-0.19236304489272293
