dmw	3 Early M	0 Mid M	7 Expanding M	1 Late M	10 Senescent M	5 Early E	13 Expanding E	4 Abaxial E	6 Adaxial E	8 Senescent E	14 Guard cell	2 Vasculature	11 PPP	9 Phloem	16 Myrosinase	12 S phase	15 G2M phase
dmw=9	-0.012110316614767913	-0.03663136699773917	0.04461101099716058	-0.08331434552623057	0.1875770359938213	-0.03180204998133235	0.21108503569616516	0.2962232257544236	0.06119626036819989	0.23215721940982414	-0.19984718090957376	-0.08416992852230559	-0.1674485204144331	-0.10829662629673592	-0.10601571021449346	0.02233449157261047	0.0324840937994062
dmw=44	0.06146029406863483	-0.024845736868265647	0.06407193887527529	-0.05841111894682201	-0.11039962912719634	0.0676418662453266	0.07739191612975697	0.020467959502722725	0.014404393200649485	0.10904453895752017	0.01607111404701573	0.03751318730441911	0.0006289227231373734	0.027051929172496412	-0.2764919434102964	-0.08536040224141593	0.18538256706236617
dmw=45	-0.3477625474593615	-0.12331588343044506	0.4505572735478497	0.03169927798049091	0.2645821341451281	0.7180882003041109	0.29216058674013	-0.054599952090827505	0.030684312093405205	0.4507436100216109	0.36987655301168815	-0.07540499313017004	-0.3625930313298841	-0.22383892429789704	0.8865246070295919	0.2023065175822032	0.11471610133122234
dmw=48	0.0027351122544148065	-0.02166777338088144	-0.036639115367423813	-0.014393929603738753	-0.04553988733680048	-0.019541453550710686	-0.011384201137675132	0.06642069417447272	-0.027380601417185235	-0.0074525072155803285	0.22372241342889476	0.03295568754388434	-0.06021684916677916	0.04327529393400509	-0.0894794011483625	-0.0017433265140318621	-0.07365449388699119
dmw=49	0.03912028428188396	-0.026026299687260467	0.049564461122259235	-0.06676382221720858	-0.07478351466486989	0.12342087072523822	0.019407192444918342	0.01942869782069727	-0.018228856746096693	-0.01959075709477661	0.19978278622990456	0.05372314043385801	-0.009681899142324051	0.10282340110435181	-0.17013860789206314	0.15342095847067858	-0.039674749172383596
dmw=50	0.005113391107468457	0.005482568644164963	0.0028230454720122138	-0.0043606087538675346	0.0012698494340888464	-0.010287654822594423	0.002945284775521766	0.021868274818304376	-0.006508018188843562	0.021668590941615586	0.006779043609641541	0.004350403641378044	0.002912825667139884	0.00044240809015116	-0.25013406135915073	-0.08923186454481133	0.008143068797849509
dmw=81	-0.07803535564209027	-0.12003242393477777	-0.08506730411703342	-0.1488579571084495	0.009149068839097314	0.14678404542784995	0.37934643940508284	0.40417359576882655	0.4188736570650934	0.3311968777025224	0.022135211483646687	-0.06798882928110112	-0.18048650766606153	-0.20210632358459868	-0.3033298284561615	0.04503278384845484	0.06016602044980717
dmw=131	-0.08847739759594968	-0.1294161735236412	-0.048232727549878215	-0.18458595630258326	0.04612741395409876	0.10312137103119302	0.13184543636850393	0.15059677932264467	0.2299101044118067	0.2929532103087841	0.329537296494879	0.18356814683943498	0.3887227502405638	-0.12790501282469016	-0.3006810886339214	-0.03491986087961807	-0.03691301685898713
dmw=145	0.06672364940225055	0.12764462379510627	-0.011724642702073525	0.10034126118239765	0.09134061012070671	-0.03300659927384954	-0.24762853832549855	-0.08985655445281743	-0.1749200519499805	-0.11330759288986401	-0.15453281745633327	-0.04340493653397952	-0.18029828765572942	-0.13340605915382667	-0.296765926226064	0.07159058289888726	-0.22910650163614257
dmw=158	-0.008033458130953637	-0.0540662709976099	-0.005586241739126237	-0.06261016147523865	0.02722278090671927	-0.020220825415165733	0.10159695016724808	0.028169887441212363	0.2029175354868698	0.1656132923386992	0.1549467806587828	0.007440121271381324	0.05101196471182965	-0.017535531988294675	-0.057325872550995464	0.06436657351434344	0.025507551289698283
