gene,meth_shift,rna_shift,meth_z,rna_z,corr_type,anti_score,abs_score,coverage
AT5G06280,0.08121141572529979,3.3013128844484827,17.102868660956698,21.40796033987291,positive,-366.1375339918163,366.1375339918163,1527.0
AT4G28630,0.06138839414035167,1.9589868272692503,11.233744717489373,13.453735321392955,positive,-151.1358280971983,151.1358280971983,1578.0
AT5G59880,0.05904974326048047,0.785894879325078,4.1718710412982976,5.520591827280448,positive,-23.031197175059354,23.031197175059354,1034.0
AT3G01310,-0.05187285772077166,-0.7545585261352223,-6.957080407924922,-2.187515556714905,positive,-15.218721621652245,15.218721621652245,3986.0
AT2G11225,-0.052714743346201076,-0.8739699591641135,-3.511005984023283,-1.5087110836488564,positive,-5.297093642853387,5.297093642853387,2420.0
AT4G10340,0.05987369723342346,0.563207354360709,6.5613915203600826,0.7859314187380141,positive,-5.156803746492175,5.156803746492175,786.0
AT4G16860,-0.06699637747278175,-1.2268218994856064,-2.449418211556472,-1.5331838953163228,positive,-3.7554085548528926,3.7554085548528926,2215.0
