dmw	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
dmw=9	0.9638386648122392	0.9840425531914894	0.8947368421052632	0.9529411764705882	0.8235294117647058	0.8484848484848485	0.9659090909090909	0.9805825242718447	0.9444444444444444	0.8333333333333334	0.9344262295081968	1.0	1.0	0.75	0.0	1.0	1.0
dmw=44	0.6268656716417911	0.6278755074424899	0.6619718309859155	0.6470588235294118	0.6190476190476191	0.5308641975308642	0.7	0.6925795053003534	0.7222222222222222	0.6607142857142857	0.6494845360824743	0.7	0.5070422535211268	0.6219512195121951	0.6	0.0	0.5882352941176471
dmw=45	0.3473684210526316	0.3125	0.5970149253731343	0.125	0.03125	0.0	0.0	0.14	0.05	0.8974358974358975	0.0	0.0	0.9375	0.0	0.0	0.0	0.0
dmw=48	0.9552123552123553	0.9475032010243278	0.9458333333333333	0.9734513274336283	0.9476923076923077	0.9659090909090909	0.9746835443037974	0.9107142857142857	0.9488636363636364	0.9245283018867925	0.8909090909090909	0.972972972972973	0.9375	0.9534883720930233	1.0	1.0	0.5714285714285714
dmw=49	0.7009803921568627	0.6438356164383562	0.7931034482758621	0.8333333333333334	0.7592592592592593	0.8421052631578947	0.6363636363636364	0.7777777777777778	0.8709677419354839	0.0	0.8	1.0	0.8333333333333334	0.8695652173913043	1.0	1.0	0.5
dmw=50	0.004629629629629629	0.009009009009009009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
dmw=81	0.605038236617184	0.6279585798816568	0.5655577299412916	0.6331877729257642	0.3836104513064133	0.5803921568627451	0.3415384615384615	0.5586206896551724	0.45528455284552843	0.46621621621621623	0.5493827160493827	0.6475409836065574	0.6240601503759399	0.45539906103286387	0.45569620253164556	0.52	0.5205479452054794
dmw=131	0.73046875	0.7315436241610739	0.38	0.6176470588235294	0.5227272727272727	0.8	0.46153846153846156	0.8269230769230769	0.52	0.5	0.6153846153846154	0.4444444444444444	1.0	0.5	0.0	0.0	0.5555555555555556
dmw=145	0.3717728055077453	0.37425149700598803	0.3828125	0.4090909090909091	0.42410714285714285	0.4117647058823529	0.3088235294117647	0.3560606060606061	0.3968253968253968	0.2916666666666667	0.24324324324324326	0.44	0.20833333333333334	0.44	0.2222222222222222	0.6666666666666666	0.5
dmw=158	0.8364312267657993	0.8132118451025057	0.8050847457627118	0.8051948051948052	0.8621908127208481	0.8169014084507042	0.8311688311688312	0.8454106280193237	0.8709677419354839	0.7727272727272727	0.7714285714285715	0.8285714285714286	0.5	0.8625	0.68	0.0	0.6190476190476191
dmw=266	0.004651162790697674	0.010638297872340425	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.12962962962962962	0.0	0.05555555555555555	0.0	0.0	0.0	0.0	0.0
dmw=300	0.9436619718309859	0.9559164733178654	0.9526627218934911	1.0	0.9504504504504504	1.0	0.9166666666666666	0.8928571428571429	0.9603960396039604	0.9210526315789473	1.0	1.0	0.8666666666666667	0.9702970297029703	0.9090909090909091	1.0	0.5
dmw=325	0.9242105263157895	0.9361702127659575	0.9572953736654805	0.9212121212121213	0.9357429718875502	0.9807692307692307	0.9466019417475728	0.9490445859872612	0.9090909090909091	0.8597560975609756	0.9192546583850931	0.9583333333333334	0.75	0.9827586206896551	0.9714285714285714	1.0	1.0
dmw=329	0.7727272727272727	0.7158590308370044	0.7061855670103093	0.7195121951219512	0.8134328358208955	0.7567567567567568	0.8666666666666667	0.7346938775510204	0.8354430379746836	0.5522388059701493	0.6875	0.6296296296296297	0.75	0.8	0.7586206896551724	0.75	0.6875
dmw=330	0.3052064631956912	0.2676056338028169	0.4144144144144144	0.375	0.3333333333333333	0.7241379310344828	0.47560975609756095	0.2366412213740458	0.3617021276595745	0.4909090909090909	0.19047619047619047	0.4666666666666667	0.3055555555555556	0.14285714285714285	0.0	0.2	0.0
dmw=344	0.6454545454545455	0.6580645161290323	0.7037037037037037	0.6290322580645161	0.2	0.6818181818181818	0.26666666666666666	0.5684931506849316	0.32038834951456313	0.5760869565217391	0.7192982456140351	0.6341463414634146	0.6351351351351351	0.25925925925925924	0.0	0.6111111111111112	0.5
