dmw	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
dmw=9	0.06876241429918761	0.03539692777695175	-0.0023996631243085043	0.07840200976128542	-0.19088665021402326	0.034725466315509046	-0.10490592318978967	0.07292857496912769	-0.04421428292490398	0.07065372028695305	0.04280958347352254	-0.058780026945397246	-0.02190139684808068	-0.2193401526786652	-0.2201355646913774	0.11361309376910472	0.01777776662508518
dmw=44	0.0006906493567176855	0.00428248819617458	-0.004905318901647344	0.002517457976053487	-0.0018063417910083443	0.0007740543111467981	0.001977532704523129	-0.005220845206738518	-0.0029342963055073003	-0.0039511568046957735	-0.0007809736013301544	-0.005146413019890791	-0.004650988605877507	-0.005175549812204465	-0.005253124055196833	-0.00506608355442011	-0.004517634548830422
dmw=45	-0.08571245729107763	0.19441627237298792	-0.1744361142608333	-0.17077668595675471	-0.0601295163161618	0.2639290744815973	-0.11611274704475606	0.11635604779834313	0.07239899332724212	-0.08471527137402687	-0.06137873772159226	-0.1814898739346973	-0.16686592457852575	-0.18233441110871576	-0.18457468592988857	-0.17915270138750367	0.5294652514490369
dmw=48	0.0044621626000974635	0.0023938657610399483	0.004714916076377418	0.02270959959560981	0.02891380233494656	-0.011974739140877322	0.00010625735438052342	-0.03811462232464724	-0.006518515044406814	0.01619553537129259	-0.005884356908546273	-0.022909530694742775	-0.2344775934043294	-0.007534938327355856	0.12094728767671703	-0.04179097084140859	-0.0191327379724463
dmw=49	-0.007589857151173371	-0.0015857257894749573	-0.0077119591810675655	-0.007518320303714437	0.0014021820482573947	0.044864887544647646	0.04953266754726219	-0.008206529006768003	-0.008059887555115	-0.006215271032953071	0.008177658494869235	-0.008089876890174852	-0.0073131800358692	-0.008135542040491552	-0.008257114179203912	-0.00796397119886063	-0.007104039895665212
dmw=50	0.0022161434988711	0.0009782499864087564	-0.0071856100297605155	-0.007005093905871404	0.012400409639351583	-0.007236633963716783	-0.007602970419029695	-0.007646685074957496	0.011357952872795625	-0.005790476290993088	-0.006714841425902928	-0.007537930405232948	-0.006813861076872864	-0.007580503778409203	-0.0076938461309727455	-0.007420550593986174	-0.006618905101133272
dmw=81	-0.0010114400035080755	0.0019871786717930266	-0.0004006671942945921	0.003152851879612481	-0.0014209529428585539	-0.0034769528784577646	3.0428365542778217e-05	-0.0038568503718259947	0.001357458845514272	0.0027716371112810785	-0.00023829936421737152	0.0027164660198706336	0.014680316416936593	-0.006845819067687102	-0.006948253453027807	0.037743180950790864	-0.005976855013881963
dmw=131	-0.002732307323558756	-0.0026882566320173542	-0.0027764820209291315	0.009058276293831111	-0.002860309812259846	-0.00279628558263963	-0.00293850586776039	-0.0029554812104948037	0.01614522355138108	-0.0022354821023257616	-0.002593824811043148	-0.002913251127099863	-0.0026322353983722476	-0.0029297819440981887	-0.0029737958935531234	-0.0028676782212435606	-0.0025566147553504957
dmw=145	-0.004077510300663291	-0.0010445002290472034	0.021334363739673325	0.0040255724076711	-0.00426826281915777	0.006136423030397782	-0.004384780680843819	0.018061836113295943	-1.970365898366737e-06	-0.003336900459172238	-0.003871113036257377	-0.004347150247207205	-0.003928363816072736	-0.00437178184011222	-0.004437362463534535	-0.004279242673213653	-0.0038156495718851815
dmw=158	-0.001673089032750901	0.002278450905461675	0.000755505744549986	0.0036060444518254955	-0.0008183056503445639	0.001405210179740545	0.0009566341359201602	0.003440573554307944	-0.0032391864966826445	-0.004890751512913709	-2.2590634684419887e-05	0.014464908075900652	-0.00575604328983536	-0.006404436022697017	0.052323220216848196	-0.006269141812849921	-0.005591182869015285
