dmw	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
dmw=9	0.398884239888424	0.3619246861924686	0.3312883435582822	0.40641711229946526	0.1494661921708185	0.37	0.24154589371980675	0.4206896551724138	0.2994350282485876	0.35789473684210527	0.3615023474178404	0.2857142857142857	0.3	0.12643678160919541	0.12903225806451613	0.45454545454545453	0.3333333333333333
dmw=44	0.005518087063151441	0.00903225806451613	0.0	0.0072992700729927005	0.003246753246753247	0.005714285714285714	0.007168458781362007	0.0	0.0021929824561403508	0.0	0.0038022813688212928	0.0	0.0	0.0	0.0	0.0	0.0
dmw=45	0.08641975308641975	0.36423841059602646	0.0	0.0	0.11864406779661017	0.4393939393939394	0.06666666666666667	0.3	0.25333333333333335	0.06060606060606061	0.10344827586206896	0.0	0.0	0.0	0.0	0.0	0.6923076923076923
dmw=48	0.8741900647948164	0.870264064293915	0.8762541806020067	0.8913525498891353	0.903755868544601	0.8603603603603603	0.8778801843317973	0.8402777777777778	0.8699186991869918	0.8613861386138614	0.8578199052132701	0.8539325842696629	0.6309523809523809	0.8699186991869918	1.0	0.8333333333333334	0.8428571428571429
dmw=49	0.0	0.0058823529411764705	0.0	0.0	0.009345794392523364	0.05263157894736842	0.057692307692307696	0.0	0.0	0.0	0.015384615384615385	0.0	0.0	0.0	0.0	0.0	0.0
dmw=50	0.009287925696594427	0.007936507936507936	0.0	0.0	0.019801980198019802	0.0	0.0	0.0	0.018867924528301886	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
dmw=81	0.005374644325007904	0.008270676691729323	0.0060882800608828	0.009478672985781991	0.005263157894736842	0.0030581039755351682	0.006896551724137931	0.003048780487804878	0.00813953488372093	0.008	0.005825242718446602	0.009523809523809525	0.020833333333333332	0.0	0.0	0.044444444444444446	0.0
dmw=131	0.0	0.0	0.0	0.011764705882352941	0.0	0.0	0.0	0.0	0.01904761904761905	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
dmw=145	0.0	0.002967359050445104	0.025477707006369428	0.008064516129032258	0.0	0.010309278350515464	0.0	0.02247191011235955	0.004329004329004329	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
dmw=158	0.004301075268817204	0.008156606851549755	0.006825938566552901	0.009523809523809525	0.005434782608695652	0.007518796992481203	0.007380073800738007	0.009900990099009901	0.003105590062111801	0.0	0.005649717514124294	0.020833333333333332	0.0	0.0	0.058823529411764705	0.0	0.0
dmw=266	0.006385696040868455	0.0	0.00847457627118644	0.004761904761904762	0.008064516129032258	0.0	0.008403361344537815	0.0	0.007434944237918215	0.0	0.012658227848101266	0.0	0.0	0.02127659574468085	0.0	0.0	0.0
