dmw	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
dmw=9	0.10453038633471268	0.11708396584854519	0.08275085102846957	0.09185807324277295	-0.48967002806326926	0.07432246337351056	-0.16867969981944997	0.028443917250110307	-0.27946337266467536	0.18566576219476227	-0.14707298035457683	0.10946167632674997	-0.04476708656239703	-0.43409244421614346	-0.016961908602276532	0.09710082018586419	0.12317542005866333
dmw=44	0.0229031939219958	0.05939203300025442	-0.0373814861490257	-0.0539247660064226	-0.028102707157707907	-0.040662690258968515	-0.01744146717431483	-0.07360824917670383	-0.11807422316226518	-0.018252919486751173	0.10637764077530032	-0.005208206622629108	0.08399869779092461	-0.08928772194367052	-0.00527077328901604	-0.14523798599187188	0.272406678723433
dmw=45	0.03555013321009387	0.1600325545495721	-0.09513942369653394	0.18120655775795547	-0.010464116756793596	-0.4310103779325501	-0.15130188645770815	-0.3367179867986464	-0.3840003727007477	0.14829015426646636	-0.32902557434822216	0.18195525218437159	-0.3677755623675964	-0.4809604887653299	-0.5406378079519312	-0.25036630741197363	-0.3572685578709253
dmw=48	0.02558505826575108	0.015769816594507935	-0.02759678139463173	0.020755099717541192	-0.03908380683449564	0.012139746957468667	0.02594009191189295	-0.0016600611717166869	-0.0008699303485766308	-0.02280791761190104	0.03828434483710108	0.03771666453250144	-0.23288356145171552	0.0017471802937703007	-0.1006036955820292	0.040838676694289755	0.07003554654498945
dmw=49	0.01605400183227801	0.062090111990102836	-0.05703868240835708	-0.04228927005518979	-0.023311281646430593	-0.05609025152234648	0.06321866785304497	-0.061585734779026624	0.006086539663761603	-0.09645305190210746	0.07991316260262238	0.0021062276830089433	-0.1577151558534418	-0.033524586575571336	-0.19452622672417064	0.06979685247765766	0.16344648819262886
dmw=50	-0.0033380154533189117	0.005257871087153049	-0.011365476050657708	-0.01191932844630219	-0.009644441764033982	0.004236555014631601	-0.0012614116965161907	-0.01055620193086909	-0.010538525949987087	-0.0060321238432775115	-0.00808464097389674	-0.010413009841515091	0.08243959648196805	-0.010794434110925956	-0.013670286917034515	-0.01300949206108564	0.243496666695122
dmw=81	0.1163683193378664	0.1476476281134783	0.07289733743676513	0.08654256507600266	-0.41146628419870235	-0.12184339928575177	-0.4239117134389559	0.07677387680462033	-0.33611953859081317	0.21642769535754536	-0.012522342952694332	0.18379089395295806	-0.02714430050186767	-0.3931570196069232	-0.0112710945426866	0.027952590743885564	0.29774218724971835
dmw=131	0.12399373935927782	0.17863338124970884	-0.18100654249009424	0.10289746190653815	-0.15940247713808037	-0.07757660995306609	-0.23797112842928844	0.04077359151367549	-0.2831273001814346	0.13763372582592226	-0.051911879685624274	-0.39105328611083673	0.03558966220839732	-0.14176984869878528	-0.3148160184334856	0.08392813206432259	0.2985408959274715
dmw=145	-0.13364237940734428	-0.10354559952682658	0.06891712432238095	-0.058392372254135017	0.08134413933515619	0.06271238200917939	0.16685482002120158	0.026437633158270357	0.10858752081170364	0.13708366408564707	-0.09731828715750092	0.17639145047677623	-0.07330544144969775	0.23797170828227338	0.1655729963390007	0.26889748271917296	0.29319061399987234
dmw=158	0.050197109138699236	0.06199809623245445	-0.00269912755504198	0.015563844677118022	-0.03385806239247291	0.04177966658846999	-0.2061408881955319	0.005533766065522139	-0.17382525804630578	0.024771082496225838	-0.03009840376371531	-0.036079727393928396	-0.06730013233909415	-0.11345238986996875	-0.09059286277960099	0.0020678405500538233	0.052134183212883545
dmw=266	-0.00929735400069121	-0.002094244874450835	-0.015682168940379736	-0.003567343498167303	-0.006544268324975717	-0.006073878906675085	-0.009292826400180355	-0.0056014464443775915	0.007926152032491583	-0.008340258277903603	0.014147129615881866	-0.014373208272068361	-0.011699287979045197	-0.014897509202883415	0.481154322638183	-0.01793926431719585	-0.008990140734848336
dmw=300	-0.006754609846283399	0.00906177331112179	0.024195836501318402	0.008450185528081744	0.0003608603448143066	0.037942359947814586	0.03438808759649936	0.02567944082116469	-0.030478449380636374	-0.14156270838889184	0.01685027665909833	-0.008343534324392277	-0.23731846665409706	0.005606177491654596	0.05143229255419335	0.0539380536024775	-0.1323135431190725
dmw=325	0.0525616005055316	0.10706054425215172	-0.028212020953162553	0.01594162221403006	-0.1568968779263577	-0.05880161778163495	-0.0515538768779259	-0.03902772483850858	-0.2239314001541733	0.08280421587522113	0.10605138011314841	0.06194283042649229	0.08090562143121116	-0.20528252130954533	-0.06713298394582401	-0.1019683026958077	0.16086894007215935
dmw=329	0.01703656852877744	0.07037469209916514	-0.1600865818883645	-0.08562002560221138	0.0015196000772779161	0.06904116391074022	-0.09835837265527414	0.04534076960654898	-0.010613014667246179	-0.1539677240952143	0.09901709273274806	-0.1538944942065763	-0.006166030288738633	0.22134548174209512	-0.01660375099832767	0.14223544592092863	-0.14356067421408047
dmw=330	-0.04224177286077452	-0.041440971093539836	-0.004260125254955227	-0.07556546533631686	0.06419146137103487	0.11436104018417015	0.012483967575272092	-0.0015464151925548841	-0.04852990043289923	0.17554244154619625	0.11406628007291658	0.14817923353150952	0.07451766768885593	0.10913816868983695	-0.020272955989993346	-0.05602442328127216	0.10050709360291404
dmw=344	0.062069799874305914	0.044735570434599914	0.056276632078915645	0.06067707399147046	-0.17744850394080158	-0.11808375886222142	-0.1859848300006877	0.11360973353067053	-0.10394855337924142	0.02409496518292087	-0.04366217746314213	0.08548895920527186	-0.03711074645470422	-0.1815576899181142	-0.16996572643745878	0.19300740317078868	-0.018743695375072394
dmw=469	0.012115330624424936	0.03157121042703792	0.008561103782721124	-0.03425239760316834	-0.07533843875044444	-0.10681646412196144	0.006205519169600993	0.06115303928336513	-0.00341655252701234	-0.06657799914362394	0.1022785313097635	-0.016320594618505213	0.014933501355986478	-0.054593272473905885	-0.0305896102749319	0.047762546225172064	0.05289359070639077
dmw=475	0.08873842551144506	0.011408774263154897	0.018868356584957113	0.10252231766622066	-0.18467458834215844	0.06942795261707846	-0.11775050776477403	-0.05566137554592254	-0.10232408211271038	-0.013190836630821434	-0.25723601660218975	0.16534161120201585	0.14798584403379378	-0.1566510759979144	0.08354997341834447	-0.13304036564800137	0.31266430274225543
dmw=485	-0.08316606429510852	-0.05215645690229154	0.07747430714080972	-0.09032954720439301	0.020797924991330763	0.07661616647081879	0.03272966756948012	-0.007897697112364266	0.03740539069899401	0.17283804918576817	-0.09105775349182142	0.16707902485411624	0.02794529126957851	0.09501999566609912	0.245618625647242	-0.01872653137472413	0.14907154861559016
dmw=486	-0.05951932123296647	-0.05292292958200699	0.13017445440610959	-0.03772840131059082	0.02649261551415799	0.06796396714569357	-0.006596829651332639	-0.03196939244411818	-0.021599735435946316	0.05956337702880406	0.05410159155138336	0.11270319344794573	0.0013462685276065811	0.04946823300384123	0.16966854965127218	0.15491322541837416	0.22076461924078145
dmw=487	-0.13565859515109735	-0.08406586671883087	0.14148256710520174	-0.11128312052157685	0.10799731784594502	0.03343455970192599	0.0793696226649972	0.09426209951618691	0.1399463127180554	0.20780595172442706	0.07840987001839927	0.2228561932854488	-0.20054874921659485	0.11983920453328062	-0.03792847566063706	0.009466415137504458	0.21927492068320592
dmw=499	-0.051929697323362445	-0.08239411057411888	-0.026862752681207858	0.023986463694493865	0.1514418547946944	0.11709970997202135	0.19795582382432036	-0.2627302294279248	0.09992726572571875	0.12722689204848617	0.1303114986500709	0.06040117519145344	0.03946941879379484	-0.12512295511163357	0.11704769950030464	0.14143043648472187	0.027886171079803262
dmw=521	0.0024888844243105	0.01369250992025961	-0.0024299185278424673	0.0059002888859381875	0.019623242076080794	0.019462757202860836	0.01282015546666293	-0.00041377908797135543	0.03850685854817537	-0.024829618366928208	0.04016509839399629	0.0037062447289016864	-0.29049492556262513	0.018638506037944147	-0.0015904650616902494	-0.006329492925735036	-0.06912610556381482
dmw=527	-0.007420805906173285	-0.009697839727440236	0.040856221680899134	-0.01173612259636271	0.005334073189394172	0.006210319323965572	-0.015343635819201833	-0.007287375957885577	0.011589260777352173	0.046316921946612216	-0.016725091426596207	0.0219902665478364	-0.01751399412723671	-0.022265962991696208	-0.028111207929928033	-0.026771313886102963	0.20391457970644225
dmw=540	0.027473825035481514	0.10167860516469734	0.012692968688539863	0.03842439314514512	-0.19473527188208822	-0.13307622872583458	-0.25118156566953426	0.10055842616294641	-0.281823005563679	0.1511438294727055	0.09197284380248211	0.17656618553555936	-0.059441590894602214	-0.009365324246682127	-0.054732559938508785	-0.0367755005717596	0.22281076145671208
dmw=561	0.06450798900654942	-0.014677857803344074	-0.013139001833117447	0.049263986788470215	-0.12742188419991118	0.06985899502277326	-0.022874689859303854	-0.03815572825856939	0.01516076395870325	0.06956687702938247	-0.11002579551526204	-0.05817785501084827	0.052305102145368654	0.016890707885904077	0.05126916269395354	-0.02946611589121062	0.1939166658250222
dmw=579	0.002166697352420848	-0.004672240618800768	-0.005047044703410388	-0.012947338580159846	-0.010478329697154074	0.010050701191484221	-0.01057770672382712	-0.011468010568345587	-0.011448825463110636	0.0987074106643051	-0.008784860069120895	-0.011312591447718325	-0.009202736826052398	-0.011726576549538941	0.07606204756320553	-0.01413018128650656	0.1595990971006332
dmw=592	-0.028762737982041483	-0.03524792724186372	0.07890805605855344	-0.03088885441250662	-0.031120709306082246	0.11432707882759703	-0.031021551454046094	-0.03338305584596281	-0.04373664032767486	0.12439145701869805	-0.0069026971758887334	0.1110790830837488	-0.008716284045322951	-0.027858140852317886	-0.002751068781120608	0.11741000883496096	0.3480212969874311
dmw=593	-0.05287043492753903	-0.0314868905772094	0.13079347335637692	-0.00490717036403196	-0.08869580799896593	0.09932080161344314	-0.06823894134477454	-0.030200622765596707	-0.08639962225139328	0.25931850289368275	-0.03725560301338339	0.14392616331502403	0.033145376486744274	-0.06231796349654751	0.007154647959911359	0.2743070897717674	0.21961524752407838
dmw=594	0.010482513965139084	-0.00559513687117953	-0.006787379652343602	-0.01600261464805541	-0.012958625199027478	-0.0006952118857560113	-0.013081214506747924	-0.014179213742033542	-0.014155557950386713	-0.008115154174607755	-0.01086870213468506	-0.013987571210902819	0.4501538972786886	-0.01449801192569166	-0.018342275872057837	-0.017459643877718586	-0.008747650990049738
dmw=603	0.0014081938036606557	-0.0012780519626776586	-0.014313580102973022	0.0016577507866000676	-0.002892352570932238	-0.015307098380345503	-0.012266661624996782	-0.013297210848772275	-0.013275006725545947	-0.007607448782774465	-0.010190497410997632	-0.013117330617488977	-0.010674517233150339	-0.013596452033375775	0.1646123479979722	-0.016376975201143996	0.45333775944257976
dmw=641	0.1112718396064768	0.10572742188488082	0.0802183467127251	0.08891149979378066	-0.32202566461956617	-0.07029980899589683	-0.4037141143881845	0.01963921675839897	-0.1014239498243269	0.06203308072090652	0.08824888216703863	0.11599639477547508	0.05617739259826571	-0.42388358279668664	0.12994633066652994	0.13572992327799627	0.04025470944866516
dmw=653	0.046574295750867606	-0.012810839013288597	-0.0005083724208592988	-0.020788218899630256	-0.09933460211239052	0.04197302500224134	-0.1006597003006149	-0.05137710558063871	-0.0658992502391775	0.0042361109500159005	0.05561083089165583	0.03202624930069256	0.24130682648115476	-0.13921861723907153	-0.17830951628839167	0.39492967678201907	-0.11157626995530542
dmw=678	-0.18293018959216903	-0.16299764045029105	0.1479841308353556	-0.09940520306202494	0.23384181917542596	0.21484764544230173	0.15322168863283508	-0.22532408274047724	0.0928782697153196	0.2859455947355574	0.010549937875662718	0.26971290953296695	-0.10827508918217502	0.26632409411795843	0.3034262170376197	0.2963775098382585	0.3093597844624974
