DMW,Cluster,Raw_Fraction,Residual,Z_Score,Coverage
dmw=10396,0,0.11372549019607843,-0.2960373629907633,-1.6809252845046885,510
dmw=13808,0,0.23689396925502562,-0.19199021318197215,-1.2690320112999365,2537
dmw=7558,0,0.30612244897959184,-0.18744538292019552,-1.6129320026835463,588
dmw=6396,0,0.2303970223325062,-0.16372217282631518,-1.351296162565152,8060
dmw=3983,0,0.45267489711934156,-0.16044204256384204,-1.3718140307042241,486
dmw=12344,0,0.35297629200068226,-0.14171544103571748,-1.8098982032384194,11726
dmw=21603,0,0.20264193367060146,-0.12728209642901778,-1.2223965174062181,3558
dmw=8144,0,0.03935860058309038,-0.12411670845905315,-1.6364055594639892,686
dmw=12450,0,0.12237762237762238,-0.12165837307632994,-1.1832104723164247,1716
dmw=20290,0,0.3306684810341895,-0.11493766693342822,-1.3363951467515307,5879
dmw=17526,0,0.2649616368286445,-0.11003997322009434,-1.2460702009094666,1955
dmw=20776,0,0.13705583756345177,-0.10838880758239405,-1.1519540239149402,985
dmw=11086,0,0.14796905222437137,-0.10745541333740025,-1.218747900563098,1034
dmw=6410,0,0.5099141757916543,-0.1048037331535423,-1.3075639560929322,3379
dmw=5778,0,0.48256880733944957,-0.09849439030604906,-1.1321468698471242,545
dmw=8713,0,0.26253081347576007,-0.096205476588267,-1.304405912401537,2434
dmw=11604,0,0.29221556886227545,-0.094736581001865,-1.1224221232203546,835
dmw=11554,0,0.5917331399564902,-0.09304818129523262,-1.344203028451787,1379
dmw=20775,0,0.4606164383561644,-0.09003986560873078,-1.1324031366586933,1168
dmw=15033,0,0.45286195286195285,-0.09003835648846015,-1.385571899657262,594
dmw=3560,0,0.22438162544169613,-0.08866550389929193,-1.0230278807975017,1132
dmw=4951,0,0.2661185633924708,-0.08630325823203594,-1.212929169602594,2311
dmw=15594,0,0.16633858267716536,-0.0859759992467358,-1.191305664396764,2032
dmw=12449,0,0.34444088433194486,-0.08565768984198219,-1.6123470706761165,6242
dmw=19485,0,0.3954566527584608,-0.08520464929255955,-1.3200112056991995,2157
dmw=917,0,0.2103960396039604,-0.08277057684899056,-1.279307318181269,2424
dmw=4578,0,0.1544837980406933,-0.08244699981328271,-1.5235344346738486,1327
dmw=14666,0,0.14839537869062902,-0.08200115363709823,-0.8206481031735057,3895
dmw=3082,0,0.16087934049462904,-0.08037374071292672,-1.1589448969278733,4003
dmw=11289,0,0.3055028462998102,-0.07948451591617045,-0.6758950646215073,527
dmw=4950,0,0.280968201233982,-0.07860970625968605,-1.014035107121504,4214
dmw=6364,0,0.5007300792657489,-0.07838868525859144,-1.2451013358430914,9588
dmw=19084,0,0.33705206220419204,-0.07800528675732427,-1.2975574221510173,5916
dmw=20313,0,0.4006908462867012,-0.07687771136970173,-1.469717552984015,2316
dmw=13832,0,0.5290787442099846,-0.07628889865472466,-1.4158427283158763,1943
dmw=1788,0,0.4444444444444444,-0.0760343682323078,-0.9446781003402951,1053
dmw=678,0,0.19562647754137116,-0.07491293398750967,-1.2667909456785793,3384
dmw=2417,0,0.5232434350603264,-0.07477473931181078,-0.5318207932737024,5636
dmw=6653,0,0.4824120603015075,-0.07333480021826011,-0.6957769748310736,1592
dmw=8156,0,0.22664835164835165,-0.0733263053112547,-0.8309749708145602,728
dmw=19775,0,0.5198080877313228,-0.07296022737201402,-0.9563654892186108,7295
dmw=6074,0,0.5021554106333591,-0.0728436935417085,-1.2827128439254005,9047
dmw=6542,0,0.5108359133126935,-0.07167126905334809,-0.7950845569688016,2584
dmw=2438,0,0.28102481985588473,-0.07149148378414427,-0.9403440350519029,1249
dmw=14734,0,0.22440944881889763,-0.07137204251852419,-1.3066614845247926,1270
dmw=19744,0,0.5450433471541651,-0.07034397396164616,-0.9699338678231291,5306
dmw=12076,0,0.4620021528525296,-0.07013426787921545,-1.0313666437399147,4645
dmw=3083,0,0.10714285714285714,-0.06985615754780437,-1.2397014851307635,5068
dmw=16092,0,0.008503401360544218,-0.06960970179408128,-0.7956439010042846,588
dmw=21796,0,0.39180024660912455,-0.06943401361716678,-1.100879117146708,3244
