item,cluster,raw_fraction,residual,z_score,coverage,dmw_id,gene
dmw=6714,8,0.16981132075471697,-0.3273959611197008,-1.3194964305688976,53,dmw=6714,AT2G15050
dmw=6717,13,0.16071428571428573,-0.21966715812745344,-1.6372674057321508,56,dmw=6717,AT2G15090
dmw=6717,8,0.18181818181818182,-0.1928641738960325,-1.4378350159023636,66,dmw=6717,AT2G15090
dmw=6717,6,0.17424242424242425,-0.18188770331865295,-1.3561626267294846,132,dmw=6717,AT2G15090
dmw=6722,12,0.6301369863013698,-0.25263151877923484,-3.2526289319251402,73,dmw=6722,AT2G15110
dmw=6722,14,0.8372093023255814,-0.08713733582907779,-1.1299527779301928,43,dmw=6722,AT2G15110
dmw=6725,14,0.4041095890410959,-0.28893367493096517,-2.884947017295286,146,dmw=6725,AT2G15170
dmw=6725,16,0.352112676056338,-0.1639407601080506,-1.5189873262549531,71,dmw=6725,AT2G15170
dmw=6737,12,0.0,-0.18535029060494143,-1.405562379331378,14,dmw=6737,AT2G15292
dmw=6737,13,0.058823529411764705,-0.16637868528763577,-1.2855402486136982,34,dmw=6737,AT2G15292
dmw=6737,4,0.057803468208092484,-0.14816271029373693,-1.1702985442191114,173,dmw=6737,AT2G15292
dmw=6757,13,0.2972972972972973,-0.4040011933267313,-1.8268997895379895,74,dmw=6757,AT2G15530
dmw=6757,8,0.3008849557522124,-0.39530865921312186,-1.7796248500211482,113,dmw=6757,AT2G15530
dmw=6757,6,0.32646048109965636,-0.35254777404821297,-1.5470668602063382,291,dmw=6757,AT2G15530
dmw=6778,11,0.06569343065693431,-0.06344072959765856,-1.7336699914916707,137,dmw=6778,AT2G15820
dmw=6778,13,0.075,-0.05827860309042733,-1.6074406407669715,120,dmw=6778,AT2G15820
dmw=678,7,0.14647887323943662,-0.22532408274047724,-1.7696630311215884,355,dmw=678,AT1G09160
dmw=678,0,0.1669407894736842,-0.18293018959216903,-1.5433715475275354,1216,dmw=678,AT1G09160
dmw=678,1,0.15099009900990099,-0.16299764045029105,-1.4369749469287778,1212,dmw=678,AT1G09160
dmw=678,12,0.21323529411764705,-0.10827508918217502,-1.144875156301085,136,dmw=678,AT1G09160
