dmw	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
dmw=9	0.8885964912280702	0.8724770642201835	0.8941798941798942	0.9105431309904153	0.29504950495049503	0.8959537572254336	0.6176470588235294	0.8281786941580757	0.52	0.88	0.6060606060606061	0.9069767441860465	0.7169811320754716	0.36923076923076925	0.8214285714285714	0.9285714285714286	0.8333333333333334
dmw=44	0.595292766934558	0.591764705882353	0.5759668508287292	0.5707762557077626	0.5452322738386308	0.5887096774193549	0.5582255083179297	0.5218855218855218	0.47701149425287354	0.4375	0.6357142857142857	0.5869565217391305	0.625	0.5116279069767442	0.6513761467889908	0.5	0.7469879518072289
dmw=45	0.48723404255319147	0.5720081135902637	0.3988439306358382	0.6872246696035242	0.4421768707482993	0.08	0.3037037037037037	0.13861386138613863	0.09090909090909091	0.4883720930232558	0.08	0.6538461538461539	0.05263157894736842	0.0	0.0	0.2777777777777778	0.0
dmw=48	0.9177939646201873	0.8913875598086124	0.8798882681564246	0.9322033898305084	0.853496115427303	0.9251870324189526	0.919431279620853	0.8993610223642172	0.9	0.8153310104529616	0.912568306010929	0.9375	0.6464646464646465	0.9047619047619048	0.8214285714285714	0.9591836734693877	0.9181818181818182
dmw=49	0.6818181818181818	0.6909090909090909	0.6453900709219859	0.6701030927835051	0.643312101910828	0.660377358490566	0.7319587628865979	0.625	0.6923076923076923	0.4583333333333333	0.7058823529411765	0.6857142857142857	0.4791666666666667	0.6578947368421053	0.5454545454545454	0.8	0.7368421052631579
dmw=50	0.006269592476489028	0.013440860215053764	0.0	0.0	0.0	0.01639344262295082	0.00847457627118644	0.0	0.0	0.0	0.0	0.0	0.09090909090909091	0.0	0.0	0.0	0.25
dmw=81	0.5664685642790116	0.5580745341614907	0.5652818991097923	0.5909617612977984	0.039590443686006824	0.3875685557586837	0.029508196721311476	0.5505107832009081	0.13719512195121952	0.5550755939524838	0.3949579831932773	0.6540880503144654	0.391705069124424	0.08620689655172414	0.5277777777777778	0.5545023696682464	0.6535433070866141
dmw=131	0.6	0.6144927536231884	0.3374233128834356	0.6333333333333333	0.31756756756756754	0.4578313253012048	0.2413793103448276	0.5405405405405406	0.21621621621621623	0.5	0.38095238095238093	0.10526315789473684	0.48	0.36363636363636365	0.25	0.6363636363636364	0.6785714285714286
dmw=145	0.10059880239520957	0.10290556900726393	0.33497536945812806	0.21717171717171718	0.31627906976744186	0.3422818791946309	0.40350877192982454	0.27816901408450706	0.36	0.29770992366412213	0.10714285714285714	0.425531914893617	0.1388888888888889	0.4939759036144578	0.4696969696969697	0.5625	0.4642857142857143
dmw=158	0.763265306122449	0.7408274785323966	0.7438202247191011	0.7710843373493976	0.68	0.8009708737864077	0.5096618357487923	0.7376623376623377	0.5579710144927537	0.6333333333333333	0.6460674157303371	0.6933333333333334	0.6190476190476191	0.6230769230769231	0.6896551724137931	0.7735849056603774	0.6785714285714286
